Day,Fajr,Dhuhr,Asr,Maghrib,Isha
1,06:15,13:45,18:15,19:53,21:30
2,06:15,13:45,18:15,19:54,21:30
3,06:15,13:40,18:15,19:55,21:30
4,06:15,13:45,18:15,19:57,21:30
5,06:00,13:45,18:15,19:58,21:30
6,06:00,13:45,18:15,19:59,21:30
7,06:00,13:45,18:15,20:00,21:30
8,06:15,13:45,18:15,19:53,21:30
9,06:15,13:45,18:15,19:54,21:30
10,06:15,13:40,18:15,19:55,21:30
11,06:15,13:45,18:15,19:57,21:30
12,06:00,13:45,18:15,19:58,21:30
13,06:00,13:45,18:15,19:59,21:30
14,06:00,13:45,18:15,20:00,21:30
15,06:15,13:45,18:15,19:53,21:30
16,06:15,13:45,18:15,19:54,21:30
17,06:15,13:40,18:15,19:55,21:30
18,06:15,13:45,18:15,19:57,21:30
19,06:00,13:45,18:15,19:58,21:30
20,06:00,13:45,18:15,19:59,21:30
21,06:00,13:45,18:15,20:00,21:30
22,06:15,13:45,18:15,19:53,21:30
23,06:15,13:45,18:15,19:54,21:30
24,06:15,13:40,18:15,19:55,21:30
25,06:15,13:45,18:15,19:57,21:30
26,06:00,13:45,18:15,19:58,21:30
27,06:00,13:45,18:15,19:59,21:30
28,06:00,13:45,18:15,20:00,21:30
29,06:15,13:45,18:15,19:53,21:30
30,06:15,13:45,18:15,19:54,21:30
